20260312 112500;6799.75;6800.25;6799;6799.75;32
20260312 112600;6800;6800.5;6799;6799.75;20
20260312 112700;6800;6800.25;6798;6798;43
20260312 112800;6797.5;6798;6792;6796;211
20260312 112900;6795.5;6797.75;6795.5;6797.75;29
20260312 113000;6798;6798.25;6796.75;6798.25;9
20260312 113100;6799.75;6804;6799.75;6804;54
20260312 113200;6804;6805.75;6803.75;6805;44
20260312 113300;6805;6805;6803;6803.75;28
20260312 113400;6804;6805.25;6803.75;6805.25;16
20260312 113500;6805.5;6805.75;6804;6804;49
20260312 113600;6804.25;6804.25;6802.5;6802.75;12
20260312 113700;6803;6804.75;6802.25;6804.75;6
20260312 113800;6805.5;6806;6804.5;6805.5;14
20260312 113900;6805.5;6806.25;6805.25;6806;30
20260312 114000;6806;6806.25;6804.5;6805.25;10
20260312 114100;6805.5;6806.25;6805.5;6805.5;10
20260312 114200;6806.25;6807.5;6806.25;6807.5;23
20260312 114300;6807.5;6808.25;6806.25;6808.25;31
20260312 114400;6808.5;6811.25;6808.5;6810;47
20260312 114500;6809.5;6810.25;6808;6808.5;38
20260312 114600;6807;6807.75;6805.5;6805.5;32
20260312 114700;6805.75;6806.75;6805.5;6806.75;22
20260312 114800;6807.25;6807.25;6805;6805.5;18
20260312 114900;6805.25;6805.75;6804.5;6804.75;24
20260312 115000;6804.75;6804.75;6802.75;6802.75;7
20260312 115100;6802.25;6803.25;6800;6800.5;68
20260312 115200;6800.75;6801;6796.75;6797.25;44
20260312 115300;6797;6797.25;6796;6796.25;27
20260312 115400;6796.5;6797.5;6796.5;6797.25;17
20260312 115500;6796.5;6796.5;6794.75;6794.75;18
20260312 115600;6794.75;6795.75;6794.75;6795.75;8
20260312 115700;6796;6796;6793.75;6794.25;21
20260312 115800;6794.25;6794.25;6793;6793;14
20260312 115900;6793.25;6794;6793.25;6793.5;8
20260312 120000;6794.75;6794.75;6793.5;6793.5;7
20260312 120100;6794;6794.5;6792.5;6793.25;23
20260312 120200;6792.5;6793;6789.5;6789.5;62
20260312 120300;6789.25;6790.75;6789.25;6789.5;22
20260312 120400;6789.25;6789.75;6788.5;6788.75;39
20260312 120500;6788.5;6788.75;6787;6788.25;36
20260312 120600;6788.25;6788.5;6785;6785;21
20260312 120700;6784.75;6785;6781.25;6781.25;52
20260312 120800;6781.5;6783;6781;6781.5;32
20260312 120900;6781.5;6784.5;6781.25;6783.25;98
20260312 121000;6784;6785.75;6782;6783.5;111
20260312 121100;6783.25;6784.25;6782.5;6783.5;77
20260312 121200;6783.75;6785.75;6783.75;6783.75;82
20260312 121300;6784.5;6787.25;6784.25;6786.25;37
20260312 121400;6786.25;6789;6786.25;6787.5;50
20260312 121500;6787.25;6787.5;6786.5;6787;27
20260312 121600;6787.5;6788.75;6787.25;6788.75;39
20260312 121700;6789;6789.5;6786;6786;53
20260312 121800;6786.5;6787;6784.5;6786.75;38
20260312 121900;6786.5;6788.25;6786.5;6788.25;19
20260312 122000;6787.5;6787.75;6786.5;6786.5;22
20260312 122100;6786.25;6787;6785.75;6785.75;29
20260312 122200;6784.5;6785.25;6784;6784.25;37
20260312 122300;6784;6786;6783.5;6784.5;24
20260312 122400;6784.5;6785.75;6784;6785.25;58
20260312 122500;6785.25;6787.75;6785.25;6786.25;55
20260312 122600;6786;6787.75;6785.25;6787.75;39
20260312 122700;6787.5;6788.25;6787;6787.75;33
20260312 122800;6787.25;6789;6787;6789;9
20260312 122900;6789.75;6790.5;6789.25;6790.5;12
20260312 123000;6790;6790;6788.25;6788.25;13
20260312 123100;6789.5;6789.5;6784.75;6784.75;29
20260312 123200;6784;6786;6781;6786;55
20260312 123300;6785.75;6787;6784.75;6785.5;68
20260312 123400;6785.5;6786.5;6784.25;6785.75;37
20260312 123500;6785.25;6785.75;6784.25;6784.5;34
20260312 123600;6784.5;6785.5;6783.75;6784.25;31
20260312 123700;6784;6784;6781.5;6781.75;69
